date,Tráfico real,Tráfico estimado sin subvención,banda baja del intervalo de confianza,banda alta del intervalo de confianza
2020-02-15,6.08399080036657,6.01134642923747,5.79888930504055,6.2289339947459
2020-02-16,5.94177039567231,5.93321469230711,5.73291686573488,6.13959794025053
2020-02-17,6.31964663952991,6.38359853721227,6.18017115266184,6.60331381700891
2020-02-18,6.38978409991339,6.37310691106474,6.17162843508488,6.57304506216221
2020-02-19,6.40336493849652,6.4334540230195,6.22999617296087,6.6422285284394
2020-02-20,6.41928820402133,6.33331238877368,6.13509422967148,6.51726926339365
2020-02-21,6.42574751935135,6.44968072172559,6.23436842825104,6.66110697338068
2020-02-22,6.0838749094938,6.14087722239766,5.92934047260847,6.36007307064643
2020-02-23,5.94810010539176,5.95936310679787,5.77016363381365,6.15798750667765
2020-02-24,6.37783775454907,6.43654433738283,6.2306805425125,6.64246380505891
2020-02-25,6.40050786761618,6.41629692675359,6.2030285335437,6.6139785575297
2020-02-26,6.41258473456199,6.41794130865772,6.20319035544185,6.63201365132239
2020-02-27,6.43311823239395,6.48465561047422,6.29271872571768,6.67660448224598
2020-02-28,6.39031975788337,6.40471079163474,6.18013021027648,6.61605480216084
2020-02-29,6.02863187401137,5.90141602820372,5.70887786263643,6.11707700642141
2020-03-01,5.89869031662242,5.88274784561361,5.68825016468218,6.10264705384074
2020-03-02,6.33404480805874,6.32638947694455,6.14189331725207,6.55493683539339
2020-03-03,6.39641359218249,6.43176126481174,6.22914796569407,6.62535468653108
2020-03-04,6.41294510641455,6.45099419859213,6.24621780515582,6.65344718785149
2020-03-05,6.42204344014445,6.40956842152969,6.20512983270037,6.60466042465615
2020-03-06,6.43074195362775,6.44000152897543,6.24675399123794,6.63157059594937
2020-03-07,6.08437162812282,6.0416818206107,5.83414010317925,6.23773909452103
2020-03-08,5.9059036275387,6.03116316180622,5.8357842197681,6.2320761715567
2020-03-09,6.36749299430159,6.51233960050901,6.30376226201447,6.7257257962604
2020-03-10,6.36406188098696,6.4575225356102,6.24889491988145,6.65327796305577
2020-03-11,6.27378323488487,6.25857081931611,6.06017628657702,6.46108825715565
2020-03-12,6.2188989791477,6.11763236640303,5.91709252012882,6.30587709779412
2020-03-13,6.13180670929223,5.93015995127367,5.72512938969026,6.1310917129008
2020-03-14,5.2237277969237,5.08414153054572,4.88373637684984,5.28508113626368
2020-03-15,4.72628417903816,4.83631319033159,4.618884729571,5.063638792395
2020-03-16,5.42798259369477,5.33958065637457,5.15682721676738,5.53823876054308
2020-03-17,5.29639273344718,5.23653122366867,5.03240615574893,5.43986559201256
2020-03-18,5.12667119476776,5.1647591652482,4.97563069874171,5.36373772323108
2020-03-19,5.16304620888003,5.12331043529488,4.92035797999575,5.32212045070018
2020-03-20,5.1458832861519,5.07551534837845,4.86663242882828,5.27870877698219
2020-03-21,4.48301157873263,4.50275962463706,4.28982528018408,4.70937895431301
2020-03-22,4.2099410503398,4.44397261033283,4.24094411070844,4.64406205498667
2020-03-23,5.08675427501569,5.00949227110962,4.78548979001512,5.21484135930013
2020-03-24,5.04476414715526,4.98396531487112,4.78259654845468,5.18984456054169
2020-03-25,5.02453575693972,4.94539988138191,4.75223035661989,5.15216408112785
2020-03-26,5.02201040014922,5.02086611070935,4.8124557204792,5.20694697692592
2020-03-27,4.96955208235463,4.96669091851487,4.75795470163765,5.1642524014221
2020-03-28,4.4361539242779,4.45778007946011,4.27576194217681,4.64715202653717
2020-03-29,4.26124961027092,4.37702756630086,4.17146714591236,4.57823307873879
2020-03-30,4.86199214906437,4.8589648252571,4.66095746636815,5.06169296909735
2020-03-31,4.82881538710316,4.83522957634151,4.63397821187989,5.03309639394234
2020-04-01,4.8338586000299,4.84953995836257,4.64131029164635,5.05985663511382
2020-04-02,4.84302970543512,4.85237900335054,4.65766822789289,5.05691175920133
2020-04-03,4.88288251420174,4.86280870721199,4.66909217101288,5.05632135756806
2020-04-04,4.43760141949063,4.40298955908155,4.190004535983,4.61452672048966
2020-04-05,4.25940228301675,4.3610540775292,4.16398032183028,4.5614203676863
2020-04-06,4.84803001939794,4.79087709512719,4.5964692097782,4.99771879330235
2020-04-07,4.89838921099825,4.79798022496056,4.57478101292033,5.01534185210358
2020-04-08,4.94835452122304,4.79644212851782,4.57106497821516,5.00113910344425
2020-04-09,4.34595624828584,4.57609151651375,4.37229341533556,4.78400437078786
2020-04-10,4.29667683782699,4.55736666340244,4.36331398594018,4.75596728423088
2020-04-11,4.4490618248425,4.33605871744402,4.13279946895125,4.54626647341511
2020-04-12,4.1696186598027,4.32028486056636,4.12319407738573,4.51224251348357
2020-04-13,5.0589084743988,4.95789105647617,4.75975644411586,5.1475088079022
2020-04-14,5.094182594355,5.00840227770632,4.81714267467424,5.22021609052369
2020-04-15,5.08971156019735,5.03275078548774,4.83042753993338,5.25545782974823
2020-04-16,5.10087310470064,5.04583886770454,4.82687186955219,5.26472610868849
2020-04-17,5.12713225256599,5.05063641967782,4.84424143852463,5.24216333368756
2020-04-18,4.49733284739458,4.54491044097765,4.34741934902418,4.74030808126214
2020-04-19,4.32882632740621,4.47945038976864,4.28035606126492,4.6794494631262
2020-04-20,5.13856097305633,5.08746164661476,4.89181774493516,5.27829807812069
2020-04-21,5.11059142975634,5.08329603899534,4.87966243402074,5.27514098129248
2020-04-22,5.14349639720869,5.08780750407712,4.8850998008443,5.30139584148931
2020-04-23,5.13796946948378,5.08213211488051,4.8757398162898,5.28674808324248
2020-04-24,5.16705778199945,5.06638473054778,4.85842962975777,5.27212140369397
2020-04-25,4.51658812584305,4.54044755781115,4.34178765465678,4.74286266697295
2020-04-26,4.20804939734121,4.51423439062013,4.30904672081909,4.72257440196084
2020-04-27,5.1970135285755,5.09134952312459,4.87503345886909,5.27944402225349
2020-04-28,5.21256275404405,5.10701407913308,4.91396493582192,5.30254799029229
2020-04-29,5.24339190820327,5.09880822639582,4.90310144939872,5.2914407650328
2020-04-30,5.29427020294213,5.06988869415523,4.85487164961361,5.26235735279403
2020-05-01,4.38760133048166,4.73415331155103,4.52334328898603,4.94433606340651
2020-05-02,4.5677819027404,4.67756535904393,4.46721060502386,4.900429860109
2020-05-03,4.44554719678575,4.70232588148031,4.49695106793737,4.9151002558812
2020-05-04,5.36298146557146,5.25758837123186,5.05185543340303,5.47142570824541
2020-05-05,5.3587559167073,5.28528828538363,5.08818222772888,5.49819119252086
2020-05-06,5.38777367262772,5.32820587691901,5.11879549100471,5.53977743205393
2020-05-07,5.4013882257067,5.30618118613813,5.10731914795781,5.49042044421154
2020-05-08,5.41788024019608,5.32179670406562,5.12741136974447,5.50698166606916
2020-05-09,4.78680920267997,4.87220490363889,4.6715180966577,5.07191909589829
2020-05-10,4.44688013045349,4.76745103931996,4.56069616435719,4.96895457573864
2020-05-11,5.50397589345929,5.39706059969857,5.20014890776459,5.59455357407006
2020-05-12,5.50811218218466,5.32867903638076,5.11747876546349,5.52656333382699
2020-05-13,5.53328706523177,5.43189908521791,5.23499915697835,5.62898195754739
2020-05-14,5.55107503846664,5.34693938253189,5.13925603185687,5.53627476308696
