"","temperatura","fechas"
"1015",18.7,2022-10-11
"1016",19.4,2022-10-12
"1017",20.2,2022-10-13
"1018",20.7,2022-10-14
"1019",19.6,2022-10-15
"1020",20.7,2022-10-16
"1021",21.6,2022-10-17
"1022",21,2022-10-18
"1023",16.8,2022-10-19
"1024",15.9,2022-10-20
"1025",16.5,2022-10-21
"1026",15.5,2022-10-22
"1027",15.5,2022-10-23
"1028",18.2,2022-10-24
"1029",18.9,2022-10-25
"1030",20.5,2022-10-26
"1031",19.9,2022-10-27
"1032",19.7,2022-10-28
"1033",17,2022-10-29
"1034",14.6,2022-10-30
"1035",16.6,2022-10-31
"1036",16.7,2022-11-01
"1037",14.3,2022-11-02
"1038",12.9,2022-11-03
"1039",12.1,2022-11-04
"1040",12.8,2022-11-05
"1041",13,2022-11-06
"1042",13.2,2022-11-07
"1043",13.2,2022-11-08
"1044",12.8,2022-11-09
"1045",12.7,2022-11-10
"1046",14.4,2022-11-11
"1047",14.5,2022-11-12
"1048",12.8,2022-11-13
"1049",13.5,2022-11-14
"1050",12,2022-11-15
"1051",14.4,2022-11-16
"1052",11.1,2022-11-17
"1053",8.9,2022-11-18
"1054",11,2022-11-19
"1055",11.4,2022-11-20
"1056",8.3,2022-11-21
"1057",14.1,2022-11-22
"1058",12.2,2022-11-23
"1059",12,2022-11-24
"1060",9.8,2022-11-25
"1061",9.5,2022-11-26
"1062",8.5,2022-11-27
"1063",9,2022-11-28
"1064",0,2022-11-29
"1065",9.1,2022-11-30
"1066",6.8,2022-12-01
"1067",6.1,2022-12-02
"1068",5.7,2022-12-03
"1069",7.9,2022-12-04
"1070",10.7,2022-12-05
"1071",11,2022-12-06
"1072",9.7,2022-12-07
"1073",9.6,2022-12-08
"1074",-53.1,2022-12-09
"1075",7.1,2022-12-10
"1076",13.2,2022-12-11
"1077",13.6,2022-12-12
"1078",11.7,2022-12-13
"1079",9.6,2022-12-14
"1080",9.3,2022-12-15
"1081",10.6,2022-12-16
"1082",9,2022-12-17
"1083",8.9,2022-12-18
"1084",9,2022-12-19
"1085",11,2022-12-20
"1086",12.2,2022-12-21
"1087",11.6,2022-12-22
"1088",10.3,2022-12-23
"1089",10.8,2022-12-24
"1090",12,2022-12-25
"1091",11.2,2022-12-26
"1092",10,2022-12-27
"1093",10.1,2022-12-28
"1094",11.5,2022-12-29
"1095",10.3,2022-12-30
"1096",0,2022-12-31
"1097",0,2023-01-01
"1098",0,2023-01-02
"1099",0,2023-01-03
"1100",0,2023-01-04
"1101",0,2023-01-05
"1102",0,2023-01-06
"1103",0,2023-01-07
"1104",0,2023-01-08
"1105",0,2023-01-09
"1106",0,2023-01-10
"1107",0,2023-01-11
"1108",0,2023-01-12
"1109",0,2023-01-13
"1110",0,2023-01-14
"1111",0,2023-01-15
"1112",0,2023-01-16
"1113",0,2023-01-17
"1114",0,2023-01-18
"1115",0,2023-01-19
"1116",0,2023-01-20
"1117",0,2023-01-21
"1118",0,2023-01-22
"1119",0,2023-01-23
"1120",0,2023-01-24
"1121",0,2023-01-25
"1122",0,2023-01-26
"1123",0,2023-01-27
"1124",0,2023-01-28
"1125",0,2023-01-29
"1126",8.6,2023-01-30
"1127",9.7,2023-01-31
"1128",11.2,2023-02-01
"1129",12.8,2023-02-02
"1130",13.7,2023-02-03
"1131",13.3,2023-02-04
"1132",10,2023-02-05
"1133",7.6,2023-02-06
"1134",7.8,2023-02-07
"1135",9,2023-02-08
"1136",8.1,2023-02-09
"1137",7.6,2023-02-10
"1138",8.2,2023-02-11
"1139",8.7,2023-02-12
"1140",8.6,2023-02-13
"1141",11.1,2023-02-14
"1142",12.3,2023-02-15
"1143",12.3,2023-02-16
"1144",11.8,2023-02-17
"1145",15,2023-02-18
"1146",15.5,2023-02-19
"1147",14.8,2023-02-20
"1148",14.3,2023-02-21
"1149",8.2,2023-02-22
"1150",6.5,2023-02-23
"1151",7.7,2023-02-24
"1152",8.5,2023-02-25
"1153",5,2023-02-26
"1154",3.6,2023-02-27
"1155",5.7,2023-02-28
"1156",8,2023-03-01
"1157",9.3,2023-03-02
"1158",10.3,2023-03-03
"1159",7.6,2023-03-04
"1160",9.6,2023-03-05
"1161",12.1,2023-03-06
"1162",13.2,2023-03-07
"1163",14.3,2023-03-08
"1164",15.1,2023-03-09
"1165",15.6,2023-03-10
"1166",18.3,2023-03-11
"1167",16.8,2023-03-12
"1168",14.1,2023-03-13
"1169",16.7,2023-03-14
"1170",18.1,2023-03-15
"1171",14.9,2023-03-16
"1172",12.8,2023-03-17
"1173",15.7,2023-03-18
"1174",16.4,2023-03-19
"1175",17.3,2023-03-20
"1176",17.9,2023-03-21
"1177",17.2,2023-03-22
"1178",14.9,2023-03-23
"1179",16,2023-03-24
"1180",16.9,2023-03-25
"1181",16.6,2023-03-26
"1182",18.4,2023-03-27
"1183",20.4,2023-03-28
"1184",18.3,2023-03-29
"1185",16.8,2023-03-30
"1186",12.6,2023-03-31
"1187",0,2023-04-01
"1188",15.9,2023-04-02
"1189",13.6,2023-04-03
"1190",0,2023-04-04
"1191",0,2023-04-05
"1192",0,2023-04-06
"1193",0,2023-04-07
"1194",0,2023-04-08
"1195",0,2023-04-09
"1196",0,2023-04-10
"1197",0,2023-04-11
"1198",0,2023-04-12
"1199",0,2023-04-13
"1200",0,2023-04-14
"1201",0,2023-04-15
"1202",0,2023-04-16
"1203",0,2023-04-17
"1204",0,2023-04-18
"1205",0,2023-04-19
"1206",0,2023-04-20
"1207",0,2023-04-21
"1208",0,2023-04-22
"1209",0,2023-04-23
"1210",0,2023-04-24
"1211",0,2023-04-25
"1212",0,2023-04-26
"1213",0,2023-04-27
"1214",0,2023-04-28
"1215",0,2023-04-29
"1216",0,2023-04-30
"1217",0,2023-05-01
"1218",0,2023-05-02
"1219",0,2023-05-03
"1220",0,2023-05-04
"1221",0,2023-05-05
"1222",0,2023-05-06
"1223",0,2023-05-07
"1224",0,2023-05-08
"1225",0,2023-05-09
"1226",0,2023-05-10
"1227",0,2023-05-11
"1228",0,2023-05-12
"1229",0,2023-05-13
"1230",0,2023-05-14
"1231",0,2023-05-15
"1232",0,2023-05-16
"1233",0,2023-05-17
"1234",0,2023-05-18
"1235",0,2023-05-19
"1236",0,2023-05-20
"1237",0,2023-05-21
"1238",0,2023-05-22
"1239",0,2023-05-23
"1240",0,2023-05-24
"1241",0,2023-05-25
"1242",0,2023-05-26
"1243",0,2023-05-27
"1244",0,2023-05-28
"1245",0,2023-05-29
"1246",0,2023-05-30
"1247",0,2023-05-31
"1248",0,2023-06-01
"1249",0,2023-06-02
"1250",0,2023-06-03
"1251",0,2023-06-04
"1252",0,2023-06-05
"1253",0,2023-06-06
"1254",0,2023-06-07
"1255",0,2023-06-08
"1256",0,2023-06-09
"1257",0,2023-06-10
"1258",0,2023-06-11
"1259",0,2023-06-12
"1260",0,2023-06-13
"1261",0,2023-06-14
"1262",0,2023-06-15
"1263",0,2023-06-16
"1264",0,2023-06-17
"1265",0,2023-06-18
"1266",0,2023-06-19
"1267",0,2023-06-20
"1268",0,2023-06-21
"1269",0,2023-06-22
"1270",0,2023-06-23
"1271",0,2023-06-24
"1272",0,2023-06-25
"1273",0,2023-06-26
"1274",0,2023-06-27
"1275",0,2023-06-28
"1276",0,2023-06-29
"1277",0,2023-06-30
"1278",0,2023-07-01
"1279",0,2023-07-02
"1280",0,2023-07-03
"1281",0,2023-07-04
"1282",0,2023-07-05
"1283",0,2023-07-06
"1284",0,2023-07-07
"1285",0,2023-07-08
"1286",0,2023-07-09
"1287",0,2023-07-10
"1288",0,2023-07-11
"1289",0,2023-07-12
"1290",0,2023-07-13
"1291",0,2023-07-14
"1292",0,2023-07-15
"1293",0,2023-07-16
"1294",0,2023-07-17
"1295",0,2023-07-18
"1296",0,2023-07-19
"1297",0,2023-07-20
"1298",0,2023-07-21
"1299",0,2023-07-22
"1300",0,2023-07-23
"1301",0,2023-07-24
"1302",0,2023-07-25
"1303",0,2023-07-26
"1304",0,2023-07-27
"1305",0,2023-07-28
"1306",0,2023-07-29
"1307",0,2023-07-30
"1308",0,2023-07-31
"1309",0,2023-08-01
"1310",0,2023-08-02
"1311",0,2023-08-03
"1312",0,2023-08-04
"1313",0,2023-08-05
"1314",0,2023-08-06
"1315",0,2023-08-07
"1316",0,2023-08-08
"1317",0,2023-08-09
"1318",0,2023-08-10
"1319",0,2023-08-11
"1320",0,2023-08-12
"1321",0,2023-08-13
"1322",0,2023-08-14
"1323",0,2023-08-15
"1324",0,2023-08-16
"1325",0,2023-08-17
"1326",0,2023-08-18
"1327",0,2023-08-19
"1328",0,2023-08-20
"1329",0,2023-08-21
"1330",0,2023-08-22
"1331",0,2023-08-23
"1332",0,2023-08-24
"1333",0,2023-08-25
"1334",0,2023-08-26
"1335",0,2023-08-27
"1336",0,2023-08-28
"1337",0,2023-08-29
"1338",0,2023-08-30
"1339",0,2023-08-31
"1340",0,2023-09-01
"1341",0,2023-09-02
"1342",0,2023-09-03
"1343",0,2023-09-04
"1344",0,2023-09-05
"1345",0,2023-09-06
"1346",0,2023-09-07
"1347",0,2023-09-08
"1348",0,2023-09-09
"1349",0,2023-09-10
"1350",0,2023-09-11
"1351",0,2023-09-12
"1352",0,2023-09-13
"1353",0,2023-09-14
"1354",0,2023-09-15
"1355",0,2023-09-16
"1356",0,2023-09-17
"1357",0,2023-09-18
"1358",0,2023-09-19
"1359",8.6,2023-09-20
"1360",18.8,2023-09-21
"1361",20,2023-09-22
"1362",22.7,2023-09-23
"1363",24.4,2023-09-24
"1364",25.1,2023-09-25
"1365",25.7,2023-09-26
"1366",27.2,2023-09-27
"1367",27.6,2023-09-28
"1368",0,2023-09-29
